transaction_id,business_id,account_id,transaction_date,amount,transaction_type,category,merchant_name,payment_mode,balance_after_transaction,city,branch,season,description
TXN-103400,18,ACC-1018,2024-04-11,38237.92,debit,rent,"Kurian, Chana and Sethi",NEFT,252111.1,Chennai,Chennai Darbhanga Branch,Q2 - Festival,Rent transaction via cash
TXN-105000,26,ACC-1026,2024-04-12,27790.55,credit,refund,Customer Receipt,cash,427423.41,Hyderabad,Hyderabad Arrah Branch,Q2 - Festival,Refund transaction via cheque
TXN-105801,30,ACC-1030,2024-04-12,78105.54,credit,sales,Customer Receipt,RTGS,374743.44,Chennai,Chennai Unnao Branch,Q2 - Festival,Sales transaction via card
TXN-105400,28,ACC-1028,2024-04-12,143954.69,credit,sales,Customer Receipt,card,347503.96,Coimbatore,Coimbatore Bhalswa Jahangir Pur Branch,Q2 - Festival,Sales transaction via UPI
TXN-107601,39,ACC-1039,2024-04-12,226363.44,credit,sales,Customer Receipt,RTGS,701618.93,Delhi,Delhi Ramgarh Branch,Q2 - Festival,Sales transaction via RTGS
TXN-101600,9,ACC-1009,2024-04-12,93953.48,credit,sales,Customer Receipt,cheque,195862.56,Chennai,Chennai Vasai-Virar Branch,Q2 - Festival,Sales transaction via RTGS
TXN-106000,31,ACC-1031,2024-04-12,24667.04,debit,loan EMI,"Salvi, Wable and Kuruvilla",cheque,259246.0,Coimbatore,Coimbatore Thoothukudi Branch,Q2 - Festival,Loan emi transaction via card
TXN-104600,24,ACC-1024,2024-04-12,81664.0,credit,sales,Customer Receipt,cheque,229953.6,Mumbai,Mumbai Thanjavur Branch,Q2 - Festival,Sales transaction via NEFT
TXN-104200,22,ACC-1022,2024-04-12,88362.41,credit,sales,Customer Receipt,RTGS,387811.27,Coimbatore,Coimbatore Farrukhabad Branch,Q2 - Festival,Sales transaction via NEFT
TXN-104000,21,ACC-1021,2024-04-12,29990.09,credit,refund,Customer Receipt,NEFT,174858.55,Bengaluru,Bengaluru Hajipur Branch,Q2 - Festival,Refund transaction via cash
TXN-107201,37,ACC-1037,2024-04-12,18953.48,credit,refund,Customer Receipt,UPI,365478.58,Chennai,Chennai Surendranagar Dudhrej Branch,Q2 - Festival,Refund transaction via NEFT
TXN-101800,10,ACC-1010,2024-04-12,21949.28,debit,inventory purchase,Grover Ltd,RTGS,165106.9,Delhi,Delhi Tadipatri Branch,Q2 - Festival,Inventory purchase transaction via RTGS
TXN-109600,49,ACC-1049,2024-04-12,15212.48,credit,refund,Customer Receipt,cash,403232.26,Chennai,Chennai Katni Branch,Q2 - Festival,Refund transaction via NEFT
TXN-108600,44,ACC-1044,2024-04-12,17215.73,credit,refund,Customer Receipt,cheque,342140.02,Bengaluru,Bengaluru Loni Branch,Q2 - Festival,Refund transaction via cash
TXN-108200,42,ACC-1042,2024-04-12,77519.91,credit,sales,Customer Receipt,UPI,278829.43,Coimbatore,Coimbatore Raiganj Branch,Q2 - Festival,Sales transaction via card
TXN-105200,27,ACC-1027,2024-04-12,351021.59,credit,sales,Customer Receipt,card,643119.37,Bengaluru,Bengaluru Madanapalle Branch,Q2 - Festival,Sales transaction via cash
TXN-100600,4,ACC-1004,2024-04-12,122763.17,debit,salary,Nanda-Madan,NEFT,151766.81,Mumbai,Mumbai Mira-Bhayandar Branch,Q2 - Festival,Salary transaction via NEFT
TXN-108800,45,ACC-1045,2024-04-12,755.32,debit,inventory purchase,Jhaveri and Sons,RTGS,220117.02,Mumbai,Mumbai Ulhasnagar Branch,Q2 - Festival,Inventory purchase transaction via card
TXN-102400,13,ACC-1013,2024-04-12,1263.28,debit,tax payment,"Tripathi, Puri and Trivedi",cheque,454728.21,Chennai,Chennai Anand Branch,Q2 - Festival,Tax payment transaction via UPI
TXN-106400,33,ACC-1033,2024-04-12,105913.01,credit,sales,Customer Receipt,UPI,310395.7,Coimbatore,Coimbatore Ulhasnagar Branch,Q2 - Festival,Sales transaction via cash
TXN-103601,19,ACC-1019,2024-04-12,24331.71,debit,inventory purchase,"Aggarwal, Balakrishnan and Mitter",card,251897.49,Bengaluru,Bengaluru Vellore Branch,Q2 - Festival,Inventory purchase transaction via RTGS
TXN-106800,35,ACC-1035,2024-04-12,20957.66,debit,tax payment,Rao Ltd,card,472368.22,Chennai,Chennai Dharmavaram Branch,Q2 - Festival,Tax payment transaction via cheque
TXN-103000,16,ACC-1016,2024-04-12,181254.92,debit,salary,Banik-Dewan,cheque,108170.88,Coimbatore,Coimbatore Panvel Branch,Q2 - Festival,Salary transaction via card
TXN-102200,12,ACC-1012,2024-04-12,23499.83,debit,maintenance,Keer-Brahmbhatt,cheque,242127.47,Coimbatore,Coimbatore Raurkela Industrial Township Branch,Q2 - Festival,Maintenance transaction via UPI
TXN-101400,8,ACC-1008,2024-04-13,6696.01,credit,refund,Customer Receipt,RTGS,260950.14,Mumbai,Mumbai Dewas Branch,Q2 - Festival,Refund transaction via cash
TXN-105201,27,ACC-1027,2024-04-13,160739.19,credit,sales,Customer Receipt,UPI,803858.56,Bengaluru,Bengaluru Madanapalle Branch,Q2 - Festival,Sales transaction via card
TXN-102000,11,ACC-1011,2024-04-13,245482.39,credit,sales,Customer Receipt,cheque,697061.63,Delhi,Delhi Avadi Branch,Q2 - Festival,Sales transaction via NEFT
TXN-108400,43,ACC-1043,2024-04-13,15615.41,credit,refund,Customer Receipt,cheque,465924.51,Delhi,Delhi Tirupati Branch,Q2 - Festival,Refund transaction via UPI
TXN-103800,20,ACC-1020,2024-04-13,98321.07,debit,salary,Sundaram PLC,card,10577.12,Hyderabad,Hyderabad Bardhaman Branch,Q2 - Festival,Salary transaction via UPI
TXN-102801,15,ACC-1015,2024-04-13,4625.43,credit,refund,Customer Receipt,RTGS,399782.35,Bengaluru,Bengaluru Nashik Branch,Q2 - Festival,Refund transaction via card
TXN-104400,23,ACC-1023,2024-04-13,29977.96,debit,tax payment,Chada LLC,card,119032.35,Chennai,Chennai Udupi Branch,Q2 - Festival,Tax payment transaction via cheque
TXN-108801,45,ACC-1045,2024-04-13,144854.3,credit,sales,Customer Receipt,card,364971.32,Mumbai,Mumbai Ulhasnagar Branch,Q2 - Festival,Sales transaction via cheque
TXN-103200,17,ACC-1017,2024-04-13,10336.95,debit,loan EMI,"Kala, Kumer and Kalita",cheque,472635.47,Delhi,Delhi Jaipur Branch,Q2 - Festival,Loan emi transaction via RTGS
TXN-105001,26,ACC-1026,2024-04-13,73592.37,debit,salary,"Dua, Yogi and Bawa",UPI,353831.04,Hyderabad,Hyderabad Arrah Branch,Q2 - Festival,Salary transaction via UPI
TXN-106600,34,ACC-1034,2024-04-13,59542.3,debit,salary,"Chowdhury, Bhargava and Divan",NEFT,270674.27,Delhi,Delhi Tadipatri Branch,Q2 - Festival,Salary transaction via NEFT
TXN-107800,40,ACC-1040,2024-04-13,300238.84,credit,sales,Customer Receipt,cash,759038.85,Mumbai,Mumbai Thane Branch,Q2 - Festival,Sales transaction via RTGS
TXN-104601,24,ACC-1024,2024-04-13,10699.85,credit,refund,Customer Receipt,NEFT,240653.45,Mumbai,Mumbai Thanjavur Branch,Q2 - Festival,Refund transaction via card
TXN-106001,31,ACC-1031,2024-04-13,28570.32,debit,internet,Pall Ltd,NEFT,230675.68,Coimbatore,Coimbatore Thoothukudi Branch,Q2 - Festival,Internet transaction via cash
TXN-109001,46,ACC-1046,2024-04-13,29211.69,debit,inventory purchase,"Shenoy, Agate and Warrior",cash,253441.34,Coimbatore,Coimbatore Katihar Branch,Q2 - Festival,Inventory purchase transaction via cash
TXN-103401,18,ACC-1018,2024-04-13,7575.48,debit,internet,Bhasin-Muni,cheque,244535.62,Chennai,Chennai Darbhanga Branch,Q2 - Festival,Internet transaction via NEFT
TXN-109400,48,ACC-1048,2024-04-13,46700.9,debit,rent,"Chander, Lall and Chadha",cheque,250621.03,Hyderabad,Hyderabad Raebareli Branch,Q2 - Festival,Rent transaction via card
TXN-104800,25,ACC-1025,2024-04-13,21406.04,debit,utilities,Raja Ltd,cheque,130381.64,Chennai,Chennai Kota Branch,Q2 - Festival,Utilities transaction via UPI
TXN-106801,35,ACC-1035,2024-04-13,12712.39,debit,inventory purchase,Luthra LLC,cheque,459655.83,Chennai,Chennai Dharmavaram Branch,Q2 - Festival,Inventory purchase transaction via RTGS
TXN-100800,5,ACC-1005,2024-04-13,29875.53,credit,refund,Customer Receipt,NEFT,177266.95,Coimbatore,Coimbatore New Delhi Branch,Q2 - Festival,Refund transaction via cheque
TXN-103602,19,ACC-1019,2024-04-13,29095.34,debit,loan EMI,Modi PLC,NEFT,222802.15,Bengaluru,Bengaluru Vellore Branch,Q2 - Festival,Loan emi transaction via card
TXN-102600,14,ACC-1014,2024-04-13,317348.66,credit,sales,Customer Receipt,cheque,514220.43,Mumbai,Mumbai Anantapur Branch,Q2 - Festival,Sales transaction via cash
TXN-107001,36,ACC-1036,2024-04-13,146934.54,debit,salary,Cheema-Krishnamurthy,RTGS,287445.27,Delhi,Delhi Dharmavaram Branch,Q2 - Festival,Salary transaction via card
TXN-102201,12,ACC-1012,2024-04-13,19331.23,debit,fuel,Lad-Raval,card,222796.24,Coimbatore,Coimbatore Raurkela Industrial Township Branch,Q2 - Festival,Fuel transaction via card
TXN-107401,38,ACC-1038,2024-04-13,17362.14,credit,refund,Customer Receipt,cheque,261075.74,Hyderabad,Hyderabad Ongole Branch,Q2 - Festival,Refund transaction via cheque
TXN-108000,41,ACC-1041,2024-04-13,232631.24,credit,sales,Customer Receipt,card,462363.12,Hyderabad,Hyderabad Udaipur Branch,Q2 - Festival,Sales transaction via cash
TXN-100401,3,ACC-1003,2024-04-13,5192.92,debit,fuel,Sharma-Kakar,RTGS,575835.95,Chennai,Chennai Narasaraopet Branch,Q2 - Festival,Fuel transaction via card
TXN-109800,50,ACC-1050,2024-04-13,10944.99,debit,vendor payment,"Arora, Sodhi and Kalla",NEFT,199625.45,Coimbatore,Coimbatore Mysore Branch,Q2 - Festival,Vendor payment transaction via cash
TXN-101201,7,ACC-1007,2024-04-13,14530.11,debit,maintenance,"Bumb, Bhatnagar and Kaul",cheque,422281.38,Chennai,Chennai Bettiah Branch,Q2 - Festival,Maintenance transaction via cash
TXN-104201,22,ACC-1022,2024-04-13,15154.59,credit,refund,Customer Receipt,RTGS,402965.86,Coimbatore,Coimbatore Farrukhabad Branch,Q2 - Festival,Refund transaction via UPI
TXN-108601,44,ACC-1044,2024-04-14,14225.13,credit,refund,Customer Receipt,UPI,356365.15,Bengaluru,Bengaluru Loni Branch,Q2 - Festival,Refund transaction via card
TXN-100201,2,ACC-1002,2024-04-14,23573.05,debit,maintenance,"Nagarajan, Randhawa and Pathak",cash,506632.8,Hyderabad,Hyderabad Vellore Branch,Q2 - Festival,Maintenance transaction via NEFT
TXN-108802,45,ACC-1045,2024-04-14,42028.28,credit,sales,Customer Receipt,NEFT,406999.6,Mumbai,Mumbai Ulhasnagar Branch,Q2 - Festival,Sales transaction via card
TXN-107002,36,ACC-1036,2024-04-14,26519.73,credit,refund,Customer Receipt,NEFT,313965.0,Delhi,Delhi Dharmavaram Branch,Q2 - Festival,Refund transaction via cheque
TXN-106201,32,ACC-1032,2024-04-14,253119.07,credit,sales,Customer Receipt,cheque,667188.11,Chennai,Chennai Silchar Branch,Q2 - Festival,Sales transaction via NEFT
TXN-106002,31,ACC-1031,2024-04-14,229627.67,credit,sales,Customer Receipt,cash,460303.35,Coimbatore,Coimbatore Thoothukudi Branch,Q2 - Festival,Sales transaction via cash
TXN-105601,29,ACC-1029,2024-04-14,41060.3,debit,rent,"Krishnamurthy, Dora and Srivastava",UPI,96423.13,Hyderabad,Hyderabad Parbhani Branch,Q2 - Festival,Rent transaction via cheque
TXN-102601,14,ACC-1014,2024-04-14,13130.51,debit,utilities,"Banerjee, Pillay and Kade",cash,501089.92,Mumbai,Mumbai Anantapur Branch,Q2 - Festival,Utilities transaction via cash
TXN-107402,38,ACC-1038,2024-04-14,21669.28,debit,inventory purchase,Swaminathan-Upadhyay,cash,239406.46,Hyderabad,Hyderabad Ongole Branch,Q2 - Festival,Inventory purchase transaction via NEFT
TXN-101001,6,ACC-1006,2024-04-14,32873.54,debit,rent,"Bhalla, Lall and Bumb",RTGS,426534.64,Coimbatore,Coimbatore Gopalpur Branch,Q2 - Festival,Rent transaction via NEFT
TXN-100402,3,ACC-1003,2024-04-14,419205.58,credit,sales,Customer Receipt,cheque,995041.53,Chennai,Chennai Narasaraopet Branch,Q2 - Festival,Sales transaction via card
TXN-109601,49,ACC-1049,2024-04-14,152679.92,credit,sales,Customer Receipt,RTGS,555912.18,Chennai,Chennai Katni Branch,Q2 - Festival,Sales transaction via UPI
TXN-107202,37,ACC-1037,2024-04-14,712.07,credit,refund,Customer Receipt,RTGS,366190.65,Chennai,Chennai Surendranagar Dudhrej Branch,Q2 - Festival,Refund transaction via card
TXN-109201,47,ACC-1047,2024-04-14,47605.56,debit,rent,Shanker-Rama,cash,163166.69,Mumbai,Mumbai Karimnagar Branch,Q2 - Festival,Rent transaction via card
TXN-107801,40,ACC-1040,2024-04-14,20362.79,debit,inventory purchase,Sharma Group,UPI,738676.06,Mumbai,Mumbai Thane Branch,Q2 - Festival,Inventory purchase transaction via cheque
TXN-101801,10,ACC-1010,2024-04-14,5525.7,debit,inventory purchase,"Krishnamurthy, Talwar and Dara",NEFT,159581.2,Delhi,Delhi Tadipatri Branch,Q2 - Festival,Inventory purchase transaction via cash
TXN-103801,20,ACC-1020,2024-04-14,364658.81,credit,sales,Customer Receipt,RTGS,375235.93,Hyderabad,Hyderabad Bardhaman Branch,Q2 - Festival,Sales transaction via card
TXN-105802,30,ACC-1030,2024-04-14,28465.31,credit,refund,Customer Receipt,NEFT,403208.75,Chennai,Chennai Unnao Branch,Q2 - Festival,Refund transaction via NEFT
TXN-106401,33,ACC-1033,2024-04-14,39400.59,debit,rent,"Mitter, Vora and Rai",cheque,270995.11,Coimbatore,Coimbatore Ulhasnagar Branch,Q2 - Festival,Rent transaction via UPI
TXN-105002,26,ACC-1026,2024-04-14,1700.04,credit,refund,Customer Receipt,NEFT,355531.08,Hyderabad,Hyderabad Arrah Branch,Q2 - Festival,Refund transaction via card
TXN-100001,1,ACC-1001,2024-04-14,3901.26,debit,maintenance,Loke-Andra,cash,209683.39,Chennai,Chennai Kalyan-Dombivli Branch,Q2 - Festival,Maintenance transaction via UPI
TXN-108201,42,ACC-1042,2024-04-14,127523.1,credit,sales,Customer Receipt,card,406352.53,Coimbatore,Coimbatore Raiganj Branch,Q2 - Festival,Sales transaction via card
TXN-108401,43,ACC-1043,2024-04-14,5828.49,debit,vendor payment,Dash PLC,UPI,460096.02,Delhi,Delhi Tirupati Branch,Q2 - Festival,Vendor payment transaction via UPI
TXN-104602,24,ACC-1024,2024-04-15,19260.44,credit,refund,Customer Receipt,UPI,259913.89,Mumbai,Mumbai Thanjavur Branch,Q2 - Festival,Refund transaction via cheque
TXN-107003,36,ACC-1036,2024-04-15,2788.93,credit,refund,Customer Receipt,cash,316753.93,Delhi,Delhi Dharmavaram Branch,Q2 - Festival,Refund transaction via card
TXN-106601,34,ACC-1034,2024-04-15,21848.11,credit,refund,Customer Receipt,NEFT,292522.38,Delhi,Delhi Tadipatri Branch,Q2 - Festival,Refund transaction via RTGS
TXN-100601,4,ACC-1004,2024-04-15,172985.16,credit,sales,Customer Receipt,card,324751.97,Mumbai,Mumbai Mira-Bhayandar Branch,Q2 - Festival,Sales transaction via NEFT
TXN-102602,14,ACC-1014,2024-04-15,7577.14,debit,maintenance,Nagar-Kohli,UPI,493512.78,Mumbai,Mumbai Anantapur Branch,Q2 - Festival,Maintenance transaction via card
TXN-109002,46,ACC-1046,2024-04-15,15392.36,debit,utilities,Dada-Sundaram,NEFT,238048.98,Coimbatore,Coimbatore Katihar Branch,Q2 - Festival,Utilities transaction via card
TXN-104202,22,ACC-1022,2024-04-15,7771.72,credit,refund,Customer Receipt,UPI,410737.58,Coimbatore,Coimbatore Farrukhabad Branch,Q2 - Festival,Refund transaction via cheque
TXN-108602,44,ACC-1044,2024-04-15,131260.75,credit,sales,Customer Receipt,cash,487625.9,Bengaluru,Bengaluru Loni Branch,Q2 - Festival,Sales transaction via cash
TXN-104001,21,ACC-1021,2024-04-15,29313.14,debit,loan EMI,Narayanan PLC,card,145545.41,Bengaluru,Bengaluru Hajipur Branch,Q2 - Festival,Loan emi transaction via RTGS
TXN-106003,31,ACC-1031,2024-04-15,4824.4,credit,refund,Customer Receipt,NEFT,465127.75,Coimbatore,Coimbatore Thoothukudi Branch,Q2 - Festival,Refund transaction via cheque
TXN-101401,8,ACC-1008,2024-04-15,173356.67,debit,salary,"Mane, Peri and Din",card,87593.47,Mumbai,Mumbai Dewas Branch,Q2 - Festival,Salary transaction via UPI
TXN-105003,26,ACC-1026,2024-04-15,14338.5,credit,refund,Customer Receipt,card,369869.58,Hyderabad,Hyderabad Arrah Branch,Q2 - Festival,Refund transaction via NEFT
TXN-107203,37,ACC-1037,2024-04-15,24804.06,credit,refund,Customer Receipt,cash,390994.71,Chennai,Chennai Surendranagar Dudhrej Branch,Q2 - Festival,Refund transaction via card
TXN-101002,6,ACC-1006,2024-04-15,26915.9,debit,rent,Hari Ltd,cash,399618.74,Coimbatore,Coimbatore Gopalpur Branch,Q2 - Festival,Rent transaction via UPI
TXN-109602,49,ACC-1049,2024-04-15,26988.49,debit,vendor payment,"Solanki, Raghavan and Pillay",cheque,528923.69,Chennai,Chennai Katni Branch,Q2 - Festival,Vendor payment transaction via NEFT
TXN-107403,38,ACC-1038,2024-04-15,12618.44,credit,refund,Customer Receipt,NEFT,252024.9,Hyderabad,Hyderabad Ongole Branch,Q2 - Festival,Refund transaction via RTGS
TXN-103402,18,ACC-1018,2024-04-15,334113.55,credit,sales,Customer Receipt,card,578649.17,Chennai,Chennai Darbhanga Branch,Q2 - Festival,Sales transaction via cheque
TXN-101601,9,ACC-1009,2024-04-15,21254.61,credit,refund,Customer Receipt,cash,217117.17,Chennai,Chennai Vasai-Virar Branch,Q2 - Festival,Refund transaction via NEFT
TXN-103001,16,ACC-1016,2024-04-15,1301.22,debit,tax payment,Gara-Sane,RTGS,106869.66,Coimbatore,Coimbatore Panvel Branch,Q2 - Festival,Tax payment transaction via RTGS
TXN-101202,7,ACC-1007,2024-04-15,26900.96,credit,refund,Customer Receipt,card,449182.34,Chennai,Chennai Bettiah Branch,Q2 - Festival,Refund transaction via cheque
TXN-104801,25,ACC-1025,2024-04-15,96129.06,credit,sales,Customer Receipt,UPI,226510.7,Chennai,Chennai Kota Branch,Q2 - Festival,Sales transaction via RTGS
TXN-102202,12,ACC-1012,2024-04-15,17699.07,debit,fuel,Kalita Inc,NEFT,205097.17,Coimbatore,Coimbatore Raurkela Industrial Township Branch,Q2 - Festival,Fuel transaction via cash
TXN-109202,47,ACC-1047,2024-04-15,188913.53,debit,salary,Bakshi Ltd,cash,-25746.84,Mumbai,Mumbai Karimnagar Branch,Q2 - Festival,Salary transaction via RTGS
TXN-108001,41,ACC-1041,2024-04-15,16910.02,debit,loan EMI,Shenoy-Nayak,NEFT,445453.1,Hyderabad,Hyderabad Udaipur Branch,Q2 - Festival,Loan emi transaction via cheque
TXN-107602,39,ACC-1039,2024-04-15,53427.83,credit,sales,Customer Receipt,cheque,755046.76,Delhi,Delhi Ramgarh Branch,Q2 - Festival,Sales transaction via UPI
TXN-103201,17,ACC-1017,2024-04-15,12927.91,debit,tax payment,"Halder, Gara and Dhingra",RTGS,459707.56,Delhi,Delhi Jaipur Branch,Q2 - Festival,Tax payment transaction via UPI
TXN-102401,13,ACC-1013,2024-04-15,202345.58,credit,sales,Customer Receipt,cheque,657073.79,Chennai,Chennai Anand Branch,Q2 - Festival,Sales transaction via UPI
TXN-105401,28,ACC-1028,2024-04-15,14424.5,debit,inventory purchase,"Dani, Dave and Bhavsar",cheque,333079.46,Coimbatore,Coimbatore Bhalswa Jahangir Pur Branch,Q2 - Festival,Inventory purchase transaction via UPI
TXN-109401,48,ACC-1048,2024-04-16,6913.63,debit,tax payment,Chada PLC,NEFT,243707.4,Hyderabad,Hyderabad Raebareli Branch,Q2 - Festival,Tax payment transaction via UPI
TXN-102402,13,ACC-1013,2024-04-16,13931.37,debit,inventory purchase,Uppal LLC,RTGS,643142.42,Chennai,Chennai Anand Branch,Q2 - Festival,Inventory purchase transaction via cash
TXN-106802,35,ACC-1035,2024-04-16,26615.28,credit,refund,Customer Receipt,cheque,486271.11,Chennai,Chennai Dharmavaram Branch,Q2 - Festival,Refund transaction via UPI
TXN-105202,27,ACC-1027,2024-04-16,27897.61,debit,utilities,Tata Group,RTGS,775960.95,Bengaluru,Bengaluru Madanapalle Branch,Q2 - Festival,Utilities transaction via UPI
TXN-100801,5,ACC-1005,2024-04-16,15018.29,credit,refund,Customer Receipt,card,192285.24,Coimbatore,Coimbatore New Delhi Branch,Q2 - Festival,Refund transaction via NEFT
TXN-100202,2,ACC-1002,2024-04-16,5678.47,debit,maintenance,"Bhakta, Kalla and Kalita",cash,500954.33,Hyderabad,Hyderabad Vellore Branch,Q2 - Festival,Maintenance transaction via RTGS
TXN-101203,7,ACC-1007,2024-04-16,23286.0,debit,internet,Sheth LLC,cheque,425896.34,Chennai,Chennai Bettiah Branch,Q2 - Festival,Internet transaction via NEFT
TXN-106202,32,ACC-1032,2024-04-16,11989.51,debit,fuel,"Gour, Gandhi and Dhar",cash,655198.6,Chennai,Chennai Silchar Branch,Q2 - Festival,Fuel transaction via UPI
TXN-102001,11,ACC-1011,2024-04-16,231596.0,credit,sales,Customer Receipt,cheque,928657.63,Delhi,Delhi Avadi Branch,Q2 - Festival,Sales transaction via cheque
TXN-100602,4,ACC-1004,2024-04-16,18031.03,debit,internet,Sani-Iyengar,RTGS,306720.94,Mumbai,Mumbai Mira-Bhayandar Branch,Q2 - Festival,Internet transaction via NEFT
TXN-108002,41,ACC-1041,2024-04-16,176496.11,debit,salary,"Narayanan, Kala and Sankaran",UPI,268956.99,Hyderabad,Hyderabad Udaipur Branch,Q2 - Festival,Salary transaction via cheque
TXN-101802,10,ACC-1010,2024-04-16,28327.4,credit,refund,Customer Receipt,card,187908.6,Delhi,Delhi Tadipatri Branch,Q2 - Festival,Refund transaction via cheque
TXN-108202,42,ACC-1042,2024-04-16,4763.32,debit,internet,Vora Group,NEFT,401589.21,Coimbatore,Coimbatore Raiganj Branch,Q2 - Festival,Internet transaction via card
TXN-109801,50,ACC-1050,2024-04-16,15391.59,debit,vendor payment,Barman Inc,cash,184233.86,Coimbatore,Coimbatore Mysore Branch,Q2 - Festival,Vendor payment transaction via RTGS
TXN-106602,34,ACC-1034,2024-04-16,6501.31,credit,refund,Customer Receipt,card,299023.69,Delhi,Delhi Tadipatri Branch,Q2 - Festival,Refund transaction via card
TXN-103603,19,ACC-1019,2024-04-16,8361.54,debit,vendor payment,Panchal-Dewan,RTGS,214440.61,Bengaluru,Bengaluru Vellore Branch,Q2 - Festival,Vendor payment transaction via card
TXN-102203,12,ACC-1012,2024-04-16,326449.75,credit,sales,Customer Receipt,card,531546.92,Coimbatore,Coimbatore Raurkela Industrial Township Branch,Q2 - Festival,Sales transaction via cash
TXN-102802,15,ACC-1015,2024-04-16,20417.34,debit,rent,Banik and Sons,card,379365.01,Bengaluru,Bengaluru Nashik Branch,Q2 - Festival,Rent transaction via cheque
TXN-107204,37,ACC-1037,2024-04-16,28908.07,debit,tax payment,Hayre LLC,RTGS,362086.64,Chennai,Chennai Surendranagar Dudhrej Branch,Q2 - Festival,Tax payment transaction via card
TXN-107404,38,ACC-1038,2024-04-16,123558.04,debit,salary,Sangha Group,RTGS,128466.86,Hyderabad,Hyderabad Ongole Branch,Q2 - Festival,Salary transaction via RTGS
TXN-104401,23,ACC-1023,2024-04-16,92138.22,credit,sales,Customer Receipt,cheque,211170.57,Chennai,Chennai Udupi Branch,Q2 - Festival,Sales transaction via cheque
TXN-101602,9,ACC-1009,2024-04-16,202971.63,credit,sales,Customer Receipt,cash,420088.8,Chennai,Chennai Vasai-Virar Branch,Q2 - Festival,Sales transaction via UPI
TXN-108402,43,ACC-1043,2024-04-16,218254.63,credit,sales,Customer Receipt,cheque,678350.65,Delhi,Delhi Tirupati Branch,Q2 - Festival,Sales transaction via card
TXN-105602,29,ACC-1029,2024-04-16,13940.59,credit,refund,Customer Receipt,UPI,110363.72,Hyderabad,Hyderabad Parbhani Branch,Q2 - Festival,Refund transaction via cash
TXN-105803,30,ACC-1030,2024-04-16,268303.33,credit,sales,Customer Receipt,cash,671512.08,Chennai,Chennai Unnao Branch,Q2 - Festival,Sales transaction via card
