loan_id,business_id,lender_name,loan_type,loan_amount,emi_amount,due_date,interest_rate,outstanding_amount,missed_payment_count,loan_status
102,44,HDFC Bank,working capital loan,3897041.75,154431.1,2026-11-24,14.22,1758436.44,2,active
103,40,SBI,machinery loan,8974032.9,341636.45,2025-05-17,12.35,4328464.49,2,active
104,28,Kotak,machinery loan,9651081.76,336849.56,2026-03-05,8.55,1434413.65,0,active
105,4,Kotak,overdraft,4533586.2,171193.25,2026-06-04,11.98,962336.53,5,overdue
106,49,Kotak,working capital loan,7324130.84,311295.91,2025-04-14,17.67,4087698.58,10,overdue
107,34,SBI,business expansion loan,4942681.98,167529.46,2026-10-20,7.34,4078560.14,0,active
108,34,SBI,working capital loan,3109858.21,114917.9,2025-10-16,11.01,1461493.12,0,active
109,48,NBFC,working capital loan,9866005.13,366713.93,2026-03-07,11.27,7307823.54,8,overdue
110,49,Kotak,vehicle loan,2985385.53,126290.1,2026-09-08,17.43,915084.28,0,active
111,43,SBI,working capital loan,4555557.24,156571.97,2026-08-13,7.91,3692843.68,0,active
112,25,SBI,working capital loan,4699250.88,167580.51,2026-05-05,9.46,2238818.74,0,active
113,47,Axis Bank,vehicle loan,7639314.14,278792.53,2026-03-31,10.46,3618301.93,0,active
114,2,Axis Bank,vehicle loan,2827669.52,113420.97,2026-12-15,14.8,1941579.57,5,overdue
115,26,ICICI Bank,invoice financing,8990731.94,346917.38,2026-02-07,12.97,1723407.55,0,active
116,24,ICICI Bank,machinery loan,1355054.55,47204.83,2026-11-24,8.47,955949.47,0,active
117,4,NBFC,overdraft,7191959.53,276910.42,2026-06-01,12.87,6324562.82,10,overdue
118,11,SBI,invoice financing,4066987.18,162148.52,2025-10-25,14.51,2607758.94,0,active
119,21,Axis Bank,working capital loan,8023856.64,303858.99,2026-03-01,12.11,4749232.83,2,active
120,50,ICICI Bank,business expansion loan,2366108.11,93881.91,2026-04-28,14.28,555563.63,0,active
121,18,Axis Bank,invoice financing,5579269.78,192314.33,2025-12-20,8.03,1314195.42,2,active
122,10,Axis Bank,working capital loan,968954.03,41247.83,2025-11-20,17.75,690029.47,0,active
123,47,HDFC Bank,working capital loan,4557435.17,170612.65,2026-11-15,11.59,961107.19,0,active
124,37,Kotak,vehicle loan,1150935.12,44160.74,2027-03-11,12.71,945555.17,0,active
125,18,ICICI Bank,invoice financing,2174521.89,92840.0,2025-07-05,17.9,1499365.47,5,overdue
126,8,ICICI Bank,vehicle loan,654576.99,23402.95,2026-07-14,9.57,388460.13,0,active
127,23,ICICI Bank,overdraft,8971042.36,349521.78,2025-08-30,13.42,5038330.15,0,active
128,3,NBFC,business expansion loan,8396644.21,321334.91,2026-12-08,12.59,1322620.56,0,active
129,14,SBI,vehicle loan,5411288.61,228461.6,2026-11-21,17.33,3608464.02,0,active
130,46,NBFC,overdraft,4443271.59,178891.05,2026-09-12,14.98,2949166.87,0,active
131,36,Axis Bank,machinery loan,2199339.55,94321.12,2025-06-23,18.13,1317204.53,0,active
132,18,SBI,machinery loan,5976180.65,232340.62,2025-11-25,13.32,4130889.48,0,active
133,7,HDFC Bank,overdraft,8691243.12,292701.75,2025-09-18,7.08,6674893.62,0,active
134,42,ICICI Bank,business expansion loan,6797199.06,295640.4,2025-11-20,18.86,4962508.35,0,active
135,19,NBFC,business expansion loan,971523.35,36021.93,2027-02-04,11.16,180090.86,0,active
136,48,Axis Bank,overdraft,5563159.26,244191.79,2027-01-18,19.34,710205.17,0,active
137,5,SBI,working capital loan,3896781.52,147211.75,2026-12-11,12.0,1872722.54,0,active
138,32,Kotak,overdraft,6246134.15,277501.86,2026-11-20,19.98,3836814.84,2,active
139,21,SBI,business expansion loan,6981887.94,252123.73,2025-12-15,10.0,3852911.36,0,active
140,2,ICICI Bank,business expansion loan,9679862.43,378751.51,2025-11-12,13.62,5141691.23,0,active
141,29,ICICI Bank,working capital loan,9647105.47,395316.94,2025-09-30,15.84,1730511.27,1,active
142,41,NBFC,overdraft,9506527.99,404053.85,2026-05-19,17.67,2857581.21,0,active
143,48,ICICI Bank,working capital loan,3683179.93,135520.56,2026-08-13,10.82,1668352.17,0,active
144,24,Kotak,invoice financing,1720497.4,74115.2,2026-12-03,18.36,881570.46,0,active
145,32,Kotak,overdraft,2062212.13,71959.75,2026-12-01,8.54,1012274.85,0,active
146,23,HDFC Bank,business expansion loan,3117393.31,110572.21,2026-09-28,9.23,904356.82,2,active
147,3,NBFC,working capital loan,2516994.48,104818.84,2025-09-27,16.64,1558885.06,0,active
148,40,NBFC,overdraft,6460874.78,241708.5,2025-12-06,11.56,4728591.11,1,active
149,16,Axis Bank,working capital loan,5591371.12,198043.26,2026-06-01,9.17,1404634.83,0,active
150,46,NBFC,overdraft,3917391.7,154225.53,2026-10-08,13.91,2092424.95,2,active
151,42,ICICI Bank,working capital loan,6411090.98,248554.44,2026-06-29,13.19,1184316.7,0,active
152,25,HDFC Bank,overdraft,2590536.59,109586.89,2026-10-15,17.43,1983027.82,0,active
153,40,NBFC,vehicle loan,3443225.7,116218.43,2026-06-26,7.17,2499307.16,0,active
154,41,NBFC,machinery loan,3292010.76,131607.27,2025-06-01,14.64,976964.46,2,active
155,15,NBFC,machinery loan,3726882.28,151104.37,2027-01-29,15.32,1581593.09,0,active
156,35,Kotak,machinery loan,1998097.59,81111.66,2026-12-25,15.38,1699644.91,0,active
157,35,NBFC,vehicle loan,2133817.25,93502.69,2026-07-11,19.25,348063.7,1,active
158,15,SBI,overdraft,4824359.3,200545.94,2025-07-14,16.55,2230110.28,0,active
159,49,NBFC,business expansion loan,6073908.73,234115.44,2026-05-01,12.92,2110519.03,0,active
160,45,Kotak,invoice financing,7336871.12,316484.09,2026-12-23,18.43,5149589.25,0,active
161,1,Axis Bank,vehicle loan,1396080.49,47191.4,2027-03-28,7.23,1115438.7,1,active
162,7,SBI,business expansion loan,831020.0,35175.23,2025-07-19,17.46,227209.78,0,active
163,9,Kotak,machinery loan,2021710.57,80789.8,2027-01-22,14.62,1181558.55,0,active
164,22,Axis Bank,business expansion loan,1360587.29,55901.24,2026-10-24,15.97,813051.99,10,overdue
165,20,SBI,overdraft,9781021.45,390615.96,2026-02-06,14.59,4429050.38,1,active
166,21,SBI,machinery loan,3677634.64,157842.04,2027-02-04,18.17,733723.72,8,overdue
167,42,Kotak,overdraft,2170228.56,86218.36,2026-03-03,14.34,1658861.76,0,active
168,49,SBI,machinery loan,7844724.62,289557.5,2027-01-26,10.96,4348276.82,2,active
169,36,ICICI Bank,business expansion loan,8533136.08,370646.25,2026-07-18,18.79,3471732.8,0,active
170,32,NBFC,vehicle loan,8509010.52,301880.78,2026-09-22,9.24,1528781.44,0,active
171,48,NBFC,machinery loan,6121546.36,219627.48,2027-03-19,9.72,704045.66,0,active
172,22,NBFC,working capital loan,4771376.01,166693.32,2026-03-13,8.59,3496489.13,0,active
173,38,NBFC,working capital loan,5580855.04,236225.19,2025-04-23,17.46,2446715.2,1,active
174,49,Kotak,business expansion loan,9205425.6,395015.04,2025-12-08,18.16,6192847.57,1,active
175,21,SBI,business expansion loan,4577888.35,196709.32,2026-04-23,18.23,2208692.75,2,active
176,3,Axis Bank,invoice financing,6611942.01,284993.07,2025-12-06,18.39,5204828.03,0,active
177,15,ICICI Bank,overdraft,4633371.63,166466.75,2025-09-28,9.78,2165786.88,0,active
178,17,NBFC,working capital loan,1939358.77,74832.31,2025-08-11,12.97,1670318.47,0,active
179,44,HDFC Bank,machinery loan,8962771.2,397673.18,2025-06-23,19.91,4771197.51,0,active
180,28,Kotak,invoice financing,1775706.59,62450.61,2026-07-31,8.87,1107324.7,0,active
181,34,HDFC Bank,working capital loan,1305132.23,50566.62,2026-11-07,13.16,142749.54,0,active
182,40,Axis Bank,vehicle loan,3073452.05,122844.17,2026-03-29,14.63,1574405.75,0,active
183,50,HDFC Bank,vehicle loan,2619510.92,88437.6,2025-11-20,7.18,342509.19,0,active
184,29,NBFC,machinery loan,8306730.88,288128.19,2026-10-02,8.29,3934839.93,1,active
185,9,SBI,business expansion loan,6262500.73,218265.55,2026-06-02,8.49,4946371.89,1,active
186,8,Kotak,invoice financing,8336555.55,299166.56,2025-08-27,9.73,5534955.21,0,active
187,21,NBFC,vehicle loan,9514041.34,416107.17,2026-05-15,19.15,5080919.57,0,active
188,40,NBFC,machinery loan,6632757.32,250405.01,2026-08-28,11.97,1431789.28,1,active
189,8,HDFC Bank,business expansion loan,7787872.29,267989.34,2025-09-01,7.96,6760051.86,0,active
190,16,SBI,invoice financing,7349576.66,306559.01,2025-05-07,16.72,5161318.74,0,active
191,36,Kotak,business expansion loan,3426345.81,150940.05,2027-02-25,19.53,409801.64,1,active
192,28,Axis Bank,vehicle loan,1638298.5,59624.96,2025-11-16,10.34,1293720.73,0,active
193,45,Axis Bank,overdraft,6882732.14,239308.77,2026-07-06,8.39,1801267.73,0,active
194,42,Axis Bank,working capital loan,6654165.69,239069.39,2025-04-12,9.78,3725609.07,0,active
195,47,Axis Bank,overdraft,9189395.55,385290.93,2027-01-21,16.98,5599292.68,0,active
196,21,ICICI Bank,vehicle loan,6813438.57,253933.07,2026-10-08,11.39,2696064.44,8,overdue
197,17,ICICI Bank,machinery loan,8878523.13,334005.11,2025-12-30,11.81,6709615.67,0,active
198,37,Axis Bank,invoice financing,7307044.83,257410.95,2026-01-06,8.94,3597862.92,0,active
199,37,NBFC,business expansion loan,3409710.95,119320.94,2025-11-03,8.66,1841486.0,0,active
200,47,SBI,business expansion loan,3188417.74,116864.37,2026-11-17,10.65,578692.47,0,active
201,7,NBFC,machinery loan,5389763.07,196157.43,2025-08-12,10.34,4308160.78,0,active
202,43,SBI,working capital loan,2628754.38,116592.56,2025-12-30,19.89,1020279.11,1,active
203,3,Axis Bank,vehicle loan,8567077.16,375261.78,2025-05-03,19.23,7397321.42,0,active
204,50,Axis Bank,machinery loan,6030791.48,225317.07,2026-04-13,11.5,1248203.87,0,active
205,34,Kotak,working capital loan,792821.07,34602.24,2027-03-12,19.04,417119.25,0,active
206,22,HDFC Bank,business expansion loan,3990078.03,163105.52,2026-09-27,15.72,3240122.85,5,overdue
207,9,ICICI Bank,overdraft,6475901.16,277564.32,2026-10-09,18.1,3035379.29,0,active
208,9,Axis Bank,machinery loan,8827714.7,389621.0,2025-07-29,19.63,7653985.52,0,active
209,1,Kotak,overdraft,5480076.74,194101.27,2026-02-12,9.17,2528169.0,0,active
210,12,ICICI Bank,invoice financing,6046784.4,214324.91,2026-07-30,9.2,748596.31,0,active
211,4,Axis Bank,machinery loan,1665229.42,64504.51,2026-09-17,13.15,572594.62,0,active
212,48,SBI,overdraft,4132303.14,180179.9,2026-10-28,18.99,413799.86,0,active
213,17,SBI,vehicle loan,2069938.25,91755.76,2026-06-21,19.86,1210537.55,0,active
214,42,Kotak,vehicle loan,6758018.21,281039.7,2026-06-13,16.57,4362498.38,0,active
215,18,HDFC Bank,overdraft,5264135.93,178161.76,2027-02-14,7.28,2776678.21,0,active
216,49,NBFC,working capital loan,8083434.04,296415.04,2027-03-20,10.67,1341367.55,0,active
217,44,ICICI Bank,working capital loan,9293110.34,340773.19,2026-03-26,10.67,3115138.65,0,active
218,33,SBI,business expansion loan,1489835.94,53029.88,2026-01-13,9.38,779535.72,0,active
219,7,Axis Bank,invoice financing,6351898.06,248694.45,2025-07-29,13.65,1032178.41,0,active
220,4,SBI,invoice financing,2569552.53,101418.81,2025-11-05,14.03,1356953.97,0,active
221,19,ICICI Bank,machinery loan,6563549.62,261794.47,2025-06-18,14.53,3723755.45,0,active
222,42,Axis Bank,vehicle loan,3862282.61,139825.36,2026-06-23,10.11,920098.62,0,active
223,9,ICICI Bank,overdraft,5029651.11,200655.14,2026-12-14,14.54,2845766.02,1,active
224,49,SBI,overdraft,4835443.45,187830.11,2026-10-03,13.28,2129815.39,0,active
225,9,Axis Bank,overdraft,2954910.06,130565.98,2025-08-05,19.69,733220.42,1,active
226,20,SBI,invoice financing,4061665.13,145012.73,2027-03-11,9.51,698723.08,0,active
227,13,NBFC,overdraft,8002197.81,305972.92,2027-02-20,12.55,7195259.26,0,active
228,33,ICICI Bank,machinery loan,5027016.33,195104.09,2025-08-16,13.24,2520251.99,0,active
229,34,SBI,working capital loan,7145797.32,269952.34,2026-12-04,12.0,1828853.17,1,active
230,35,Axis Bank,vehicle loan,6893466.45,269323.9,2026-04-23,13.55,2488174.72,1,active
231,16,NBFC,overdraft,2260650.49,78921.82,2025-08-08,8.56,230190.34,1,active
232,29,Kotak,overdraft,4052104.7,163682.52,2026-02-13,15.14,3440379.22,1,active
233,18,HDFC Bank,business expansion loan,5520019.05,213502.07,2027-02-19,13.08,2678756.72,0,active
234,14,HDFC Bank,invoice financing,6300932.93,228478.83,2025-11-28,10.18,3789322.51,8,overdue
235,44,HDFC Bank,business expansion loan,6841543.42,265470.89,2025-11-18,13.23,886812.03,0,active
236,7,HDFC Bank,vehicle loan,4901289.58,175561.47,2025-05-27,9.65,707291.68,0,active
237,45,SBI,business expansion loan,1155704.48,49216.96,2026-05-08,17.77,420816.02,0,active
238,20,SBI,vehicle loan,9647992.83,348560.54,2026-11-09,10.02,3254549.43,0,active
239,9,ICICI Bank,invoice financing,3143709.71,120439.01,2026-02-12,12.64,503228.23,0,active
240,16,Kotak,business expansion loan,2034371.23,83296.2,2026-11-11,15.8,714357.27,0,active
241,40,NBFC,vehicle loan,7230330.2,299837.78,2027-03-29,16.43,3162306.46,0,active
242,44,ICICI Bank,business expansion loan,4055483.44,157026.07,2025-07-06,13.13,545605.01,0,active
243,5,SBI,machinery loan,7523198.76,315431.01,2025-12-11,16.98,6164795.27,0,active
244,16,ICICI Bank,vehicle loan,8648161.2,347031.49,2026-01-26,14.82,7011506.3,0,active
245,20,NBFC,invoice financing,887640.9,33688.44,2025-05-11,12.21,269998.24,0,active
246,45,Kotak,invoice financing,3407579.03,150084.93,2025-09-10,19.52,1022820.04,0,active
247,31,HDFC Bank,invoice financing,9295450.84,340006.94,2026-12-17,10.56,2915756.65,1,active
248,11,Kotak,business expansion loan,6061550.58,220303.69,2025-09-04,10.28,4498058.76,1,active
249,11,NBFC,working capital loan,1373336.55,48906.04,2026-11-22,9.4,282064.98,5,overdue
250,20,Axis Bank,business expansion loan,8527629.1,355412.63,2026-09-17,16.68,1505513.94,0,active
251,21,NBFC,invoice financing,1746242.56,61545.35,2027-03-23,8.96,1522097.32,0,active
252,14,ICICI Bank,working capital loan,6080752.75,263465.5,2027-03-01,18.66,820773.37,2,active
253,14,Axis Bank,vehicle loan,4422641.51,153551.66,2026-11-04,8.33,1240632.72,2,active
254,31,NBFC,overdraft,6055981.45,217830.29,2026-09-12,9.83,4402837.74,0,active
255,24,HDFC Bank,business expansion loan,6197152.01,247077.01,2026-12-08,14.51,4089940.46,0,active
256,7,SBI,invoice financing,4324562.84,145389.4,2026-11-27,7.01,2706095.7,2,active
257,38,Axis Bank,vehicle loan,7229687.02,249745.52,2025-04-22,8.12,4435454.66,0,active
258,5,Kotak,invoice financing,1632561.02,65415.81,2026-07-02,14.75,392828.89,5,overdue
259,25,Axis Bank,business expansion loan,7333072.33,261872.16,2025-10-10,9.52,737836.02,0,active
260,19,SBI,working capital loan,6381325.12,283454.92,2026-06-04,19.97,5107124.77,0,active
261,34,NBFC,vehicle loan,6298695.37,225510.79,2025-12-07,9.63,3853281.98,10,overdue
262,18,ICICI Bank,invoice financing,9166443.12,365155.45,2026-10-22,14.47,2288912.77,0,active
263,18,HDFC Bank,vehicle loan,3871595.91,166199.01,2026-07-27,18.18,1982782.29,0,active
264,16,NBFC,overdraft,6000464.65,257736.62,2025-11-17,18.21,4201299.34,0,active
265,44,Axis Bank,overdraft,1321336.1,49135.35,2026-09-09,11.29,474484.1,0,active
266,41,HDFC Bank,business expansion loan,1511303.5,61740.95,2026-11-25,15.69,794317.14,1,active
267,35,ICICI Bank,working capital loan,4879009.87,180496.26,2025-09-05,11.06,2663179.7,0,active
268,1,Kotak,invoice financing,1079038.04,44432.39,2025-05-07,16.08,150811.49,0,active
269,2,SBI,machinery loan,1916510.98,72257.79,2026-04-19,11.91,1712101.88,0,active
270,4,Kotak,vehicle loan,9871065.19,428102.61,2025-09-04,18.71,2344244.07,0,active
271,49,SBI,invoice financing,8143850.34,344778.95,2025-09-13,17.47,1614362.53,8,overdue
272,14,Axis Bank,working capital loan,1714429.21,60452.68,2026-01-19,8.98,1263017.44,8,overdue
273,35,ICICI Bank,invoice financing,5205571.69,192577.23,2025-10-24,11.06,3261810.05,0,active
274,47,NBFC,machinery loan,6155110.6,267200.19,2026-06-04,18.76,1272889.03,8,overdue
275,47,Axis Bank,working capital loan,8588517.13,292677.58,2025-09-15,7.56,5270533.48,5,overdue
276,23,NBFC,working capital loan,2407870.08,82676.89,2027-03-25,7.87,751338.71,1,active
277,5,Axis Bank,business expansion loan,5193798.45,193786.39,2026-08-14,11.44,1358719.67,2,active
278,29,SBI,invoice financing,9012474.41,355567.15,2025-08-21,14.01,4941920.94,0,active
279,41,Axis Bank,working capital loan,9126755.7,315811.1,2025-07-07,8.19,6875191.84,0,active
280,46,SBI,working capital loan,4395387.18,154583.33,2026-03-01,8.87,3887809.05,0,active
281,40,Axis Bank,machinery loan,2297570.34,92253.83,2026-03-26,14.85,1000493.02,1,active
282,14,ICICI Bank,vehicle loan,3829761.65,142190.54,2026-02-14,11.22,1261059.94,0,active
283,16,NBFC,vehicle loan,9440954.28,395287.51,2026-02-19,16.91,2030958.32,0,active
284,40,NBFC,vehicle loan,2750893.0,114009.23,2025-05-04,16.4,1662588.62,2,active
285,26,ICICI Bank,business expansion loan,5930464.39,230118.49,2026-09-20,13.23,3486067.22,2,active
286,1,Kotak,vehicle loan,3786156.81,150573.35,2026-01-23,14.39,2451062.85,1,active
287,1,NBFC,overdraft,1923717.29,72240.93,2027-01-16,11.73,765424.49,0,active
288,12,HDFC Bank,overdraft,5618930.14,236759.86,2026-03-02,17.23,2482203.17,5,overdue
